CharacterNameJp,TeamJp,CharacterOrder,LabelName,LabelSkill,SkillNameJp,InfoJp,HitCount,TargetType,Sp,EffectLabel,MaxSkillLevel,LabelSkillPart,SkillType,Power,MaxPower,RefParamDiffForMax,VsDpRate,VsHpRate,DamageRateRate,ElementList,BuffLimitType,BuffCategory,RefParamPower,RefParamWisdom,RefParamDexterity,RefParamSpirit,RefParamLuck,RefParamToughness,PowerRate,MaxPowerRate,AbilityLabel,AbilityPowerRate,AbilityMaxPowerRate,RefParamDiffForMaxPlus,Value1,Value2,SkillNamezhTW,InfozhTW,CharacterNamezhTW,TeamzhTW,CardNameJp,CardNamezhTW,LimitBreak,Generalize,SkillGrowthAbility
伊達 朱里,31D,55.0,ADate,ADateAttackNormal,通常攻撃,,1,Single,0,,10,ADateAttackNormal,AttackNormal,95.0,475.0,100,1.0,1.0,1.0,['Strike'],None,None,1,0,1,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,普通攻擊,,伊達 朱里,31D,,,,,
伊達 朱里,31D,55.0,ADate,ADateSkill01,サービス・エース,敵を叩きつけて攻撃 [対DP+30%]さらに オーバードライブゲージが上昇,2,Single,5,,10,ADateSkill01,AttackSkill,342.0,1710.0,117,1.3,1.0,1.0,['Strike'],None,None,1,0,2,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,發球得分,用力重創敵人的攻擊[對DP+30%]還有，OVERDRIVE量表上升,伊達 朱里,31D,ネガティブエース,悲觀王牌,20.0,1.0,
伊達 朱里,31D,55.0,ADate,ADateSkill01,サービス・エース,敵を叩きつけて攻撃 [対DP+30%]さらに オーバードライブゲージが上昇,2,Self,5,,10,ADateSkill01_2,OverDrivePointUp,0.1,0.15,117,0.0,0.0,0.0,,None,None,0,1,0,0,0,0,0.0,0.0,None,0.0,0.0,0,0.0,0.0,發球得分,用力重創敵人的攻擊[對DP+30%]還有，OVERDRIVE量表上升,伊達 朱里,31D,ネガティブエース,悲觀王牌,20.0,1.0,
伊達 朱里,31D,55.0,ADate,ADateSkill02,スライスショット,大剣を大振りして 全体を攻撃[対DP+30%],1,All,8,,10,ADateSkill02,AttackSkill,726.0,3630.0,129,1.3,1.0,1.6,['Strike'],None,None,1,0,2,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,切削球,猛揮大劍攻擊全體敵人[對DP+30%],伊達 朱里,31D,マーベルアプローチ,完美接招,10.0,1.0,AttackUp
伊達 朱里,31D,55.0,ADate,ADateSkill03,被害妄想,心に秘めた負のオーラを解放し自身の闇属性スキル攻撃力を上げる,1,Self,4,DarkBuff_Up,10,ADateSkill03,AttackUp,0.65,0.8,192,1.0,1.0,0.0,['Dark'],Default,AttackUpDark_Count,0,1,0,0,0,0,0.03,0.02,BuffUp,0.04,0.04,60,0.0,0.0,被害妄想,解放潛藏在內心深處的負面氣場提升自己的闇屬性技能攻擊力,伊達 朱里,31D,テニスコートの悪魔,網球場惡魔,4.0,1.0,AttackUp
伊達 朱里,31D,55.0,ADate,ADateSkill04,アバランチ,氷の力を宿した大剣で 全体を攻撃[対DP+30%],1,All,8,,10,ADateSkill04,AttackSkill,726.0,3630.0,129,1.3,1.0,1.6,"['Ice', 'Strike']",None,None,1,0,2,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,雪崩,用寄宿著冰霜之力的大劍攻擊全體敵人[對DP+30%],伊達 朱里,31D,Holiday Star Night,Holiday Star Night,4.0,1.0,AttackUp
伊達 朱里,31D,55.0,ADate,ADateSkill51,漆黒トランスサーブ,防御力を犠牲に 自身の連撃数(大ダメージ)を3回上げ遥か空中から 決意を込めた闇の魔球を叩きつける [対DP+50%],8,Single,14,,13,ADateSkill51,AttackSkill,2502.0,12510.0,147,1.5,1.0,3.5,"['Dark', 'Strike']",None,None,1,0,2,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,漆黑迷幻發球,犧牲防禦力，藉此增加自己的連擊數（傷害值大）3次從高空中打出充滿決心的黑暗魔球[對DP+50%],伊達 朱里,31D,テニスコートの悪魔,網球場惡魔,4.0,1.0,AttackUp
伊達 朱里,31D,55.0,ADate,ADateSkill51,漆黒トランスサーブ,防御力を犠牲に 自身の連撃数(大ダメージ)を3回上げ遥か空中から 決意を込めた闇の魔球を叩きつける [対DP+50%],8,Self,14,,13,ADateSkill51_2,Funnel,3.0,0.0,0,1.0,1.0,1.0,,Default,Funnel_Count,0,0,0,0,0,0,0.0,0.0,None,0.0,0.0,0,0.4,0.0,漆黑迷幻發球,犧牲防禦力，藉此增加自己的連擊數（傷害值大）3次從高空中打出充滿決心的黑暗魔球[對DP+50%],伊達 朱里,31D,テニスコートの悪魔,網球場惡魔,4.0,1.0,AttackUp
伊達 朱里,31D,55.0,ADate,ADateSkill51,漆黒トランスサーブ,防御力を犠牲に 自身の連撃数(大ダメージ)を3回上げ遥か空中から 決意を込めた闇の魔球を叩きつける [対DP+50%],8,Self,14,,13,ADateSkill51_3,DefenseDown,1.0,0.0,0,1.0,1.0,0.0,,Inf,None,0,0,0,0,0,0,0.0,0.0,DebuffUp,0.02,0.02,20,0.0,0.0,漆黑迷幻發球,犧牲防禦力，藉此增加自己的連擊數（傷害值大）3次從高空中打出充滿決心的黑暗魔球[對DP+50%],伊達 朱里,31D,テニスコートの悪魔,網球場惡魔,4.0,1.0,AttackUp
伊達 朱里,31D,55.0,ADate,ADateSkill52,哀のスノードロップ,聖夜を彩るプレゼントが 氷晶を纏いて敵に炸裂 [対DP+50%]このスキルでブレイクしたとき オーバードライブゲージを150%上昇,2,Single,14,,10,ADateSkill52,AttackSkill,2337.0,11685.0,146,1.5,1.0,3.375,"['Ice', 'Strike']",None,None,1,0,2,0,0,0,0.05,0.02,AttackUp,0.02,0.02,20,0.0,0.0,哀傷的雪花蓮,點綴聖誕夜的禮物在冰晶的籠罩下炸裂敵人[對DP+50%]以此技能BREAK敵人時，OVERDRIVE量表會提升150%,伊達 朱里,31D,Holiday Star Night,Holiday Star Night,4.0,0.0,AttackUp
